EF541;n_obs;EF952_sum;share_green_wtd;share_brown_wtd;share_neutral_wtd;share_green_unwtd;share_brown_unwtd;share_neutral_unwtd
2512;2630;302.351.225;0;0;1;0;0;1
2513;173;19.818.874;0;0;1;0;0;1
2514;1004;114.361.369;0;0;1;0;0;1
2519;180;20.711.068;0;0;1;0;0;1
2521;92;10305.3;0;0;1;0;0;1
2522;1124;124.076.344;0;0;1;0;0;1
2523;15;1.674.603;0;0;1;0;0;1
2529;37;4.507.213;0;0;1;0;0;1
2611;1285;139.000.275;0;0;1;0;0;1
2612;206;22.513.719;0;0;1;0;0;1
2619;717;77.467.494;0;0;1;0;0;1
2621;179;19.417.517;0;0;1;0;0;1
2622;219;23060.99;0;0;1;0;0;1
2631;70;7.805.695;0;0;1;0;0;1
2632;169;18.621.607;0;0;1;0;0;1
2633;173;19.457.626;0;0;1;0;0;1
2634;1014;110.696.366;0;0;1;0;0;1
2635;3235;352.229.182;0;0;1;0;0;1
2636;456;49751.35;0;0;1;0;0;1
2641;242;26.430.488;0;0;1;0;0;1
2642;1185;132.255.972;0;0;1;0;0;1
2643;453;51.821.212;0;0;1;0;0;1
2651;375;43.279.131;0;0;1;0;0;1
2652;630;72.978.193;0;0;1;0;0;1
2653;52;6.672.499;0;0;1;0;0;1
2654;394;44.846.555;0;0;1;0;0;1
2655;134;15.501.367;0;0;1;0;0;1
2656;22;2.589.008;0;0;1;0;0;1
2659;138;16.817.502;0;0;1;0;0;1
3111;992;107.873.886;0;0;1;0;0;1
3112;1426;156.371.054;0.011013486549754918;0.0020855755506951016;0.98690093789955;0.011570827489481066;0.0020625360943816516;0.9863666364161373
3113;1116;122.038.182;0.03610801572935669;9,33E+11;0.962959006355818;0.03202338282983444;9,60E+11;0.9670165557262331
3114;230;25.484.437;0;0;1;0;0;1
3115;1906;209.958.475;0;0;1;0;0;1
3116;262;29.256.191;0;0;1;0;0;1
3117;181;19693.58;0;0.13144446783455027;0.8685555321654496;0;0.13396751547376728;0.8660324845262327
3118;1913;207.650.791;0;0;1;0;0;1
3119;3203;352.958.952;0.038437861645839094;7,57E+11;0.9608046570706149;0.03928135554735617;8,12E+11;0.9599069054579513
3121;21;2.210.351;0;0;1;0;0;1
3122;4655;501.975.942;0.011111741921001377;0.03503605042623073;0.953852207652768;0.011485559135935075;0.03388829215896886;0.9546261487050961
3123;1966;210.785.876;0.016651878433300224;0.01314398996016317;0.9702041316065366;0.016873811314078464;0.013250096358592974;0.9698760923273285
3131;201;22.006.135;0.5;0.1428571428571428;0.35714285714285726;0.5;0.1428571428571428;0.3571428571428572
3132;255;27.865.164;0.28121487357578695;0.17969628160605325;0.5390888448181598;0.28067226890756297;0.17983193277310924;0.5394957983193278
3133;13;1.289.397;0;0;1;0;0;1
3134;x;x;x;x;x;x;x;x
3135;x;x;x;x;x;x;x;x
3141;349;38.094.181;0.13336714077144748;0;0.8666328592285526;0.1332378223495702;0;0.8667621776504298
3142;114;12.532.249;0.013433632303347947;0;0.9865663676966521;0.01206140350877193;0;0.9879385964912281
3143;113;11.668.038;0.4067038234420102;0;0.5932961765579897;0.4085545722713864;0;0.5914454277286135
3151;35;4.120.295;0;0;1;0;0;1
3152;127;14.567.598;0;0;1;0;0;1
3153;159;17.361.176;0;0;1;0;0;1
3154;41;4.210.899;0;0;1;0;0;1
3211;233;25.431.136;0;0;1;0;0;1
3212;762;82.732.759;0;0;1;0;0;1
3213;748;80.920.444;0;0;1;0;0;1
3214;776;84.329.943;0;0;1;0;0;1
3221;12967;1.428.280.148;0;0;1;0;0;1
3222;16;1.640.233;0;0;1;0;0;1
3240;239;26.147.599;0;0;1;0;0;1
3251;2045;223.978.112;0;0;1;0;0;1
3252;173;18.993.414;0;0;1;0;0;1
3253;62;6.474.487;0;0;1;0;0;1
3254;364;39846.83;0;0;1;0;0;1
3255;628;68.709.359;0;0;1;0;0;1
3256;4104;447.204.001;0;0;1;0;0;1
3257;647;72.135.883;0.04724586236783155;0;0.9527541376321684;0.04559505409582689;0;0.9544049459041731
3258;673;74.017.765;0;0;1;0;0;1
3259;83;9.165.389;0;0;1;0;0;1
3311;427;46.380.918;0;0;1;0;0;1
3312;642;67.999.093;0;0;1;0;0;1
3313;3717;403.178.043;0;0;1;0;0;1
3314;11;1.307.452;0;0;1;0;0;1
3315;11;12.585.439.999.999.900;0;0;1;0;0;1
3321;665;71.495.713;0;0;1;0;0;1
3322;2189;237.700.379;0;0;1;0;0;1
3323;1015;111169.08;0;0;1;0;0;1
3324;66;6961.74;0.1950977413692554;0;0.8049022586307446;0.19318181818181818;0;0.8068181818181818
3331;379;41.412.637;0;0;1;0;0;1
3332;284;31.860.315;0;0;1;0;0;1
3333;366;40.672.539;0;0;1;0;0;1
3334;1679;181.333.526;0;0;1;0;0;1
3339;96;10.398.759;0;0;1;0;0;1
3341;4689;522.597.058;0;0;1;0;0;1
3342;1534;165.933.227;0;0;1;0;0;1
3343;9698;1.041.152.753;4,17E+11;0;0.9995828368659613;3,84E+12;0;0.999615665835505
3344;777;84.819.163;0;0;1;0;0;1
3351;331;35974.12;0;0;1;0;0;1
3352;892;95.485.757;0;0;1;0;0;1
3353;1106;119.044.535;0;0;1;0;0;1
3354;12;1.372.192;0;0;1;0;0;1
3355;1234;133.199.054;0;0;1;0;0;1
3359;52;5.472.052;0;0;1;0;0;1
3411;444;47.910.526;0;0;1;0;0;1
3412;8964;983.788.539;0;0;1;0;0;1
3413;271;28.878.123;0;0;1;0;0;1
3421;83;9.666.287;0;0;1;0;0;1
3422;589;65.239.059;0;0;1;0;0;1
3423;679;73.915.033;0;0;1;0;0;1
3431;328;36.888.346;0;0;1;0;0;1
3432;450;50.425.934;0;0;1;0;0;1
3433;64;7.021.748;0;0;1;0;0;1
3434;296;31.963.407;0;0;1;0;0;1
3435;379;42.359.722;0;0;1;0;0;1
3511;99;10.651.796;0;0;1;0;0;1
3512;1419;159.870.026;0;0;1;0;0;1
3513;139;14826.7;0;0;1;0;0;1
3514;9;942.152;0;0;1;0;0;1
3521;235;26.582.944;0;0;1;0;0;1
3522;448;49478.81;0;0;1;0;0;1
4110;9;908.311;0.6666666666666666;0;0.3333333333333333;0.6666666666666666;0;0.3333333333333333
4120;12793;1.376.926.695;0;0;1;0;0;1
4131;245;26.631.327;0;0;1;0;0;1
4132;1936;215.153.411;0;0;1;0;0;1
4211;3508;375.081.191;0;0;1;0;0;1
4212;91;9.813.775;0;0;1;0;0;1
4213;3;340.374;0;0;1;0;0;1
4214;11;1.166.628;0;0;1;0;0;1
4221;883;95.900.603;0;0;1;0;0;1
4222;648;72.137.841;0;0;1;0;0;1
4224;1146;128.516.375;0;0;1;0;0;1
4225;14;1.599.605;0;0;1;0;0;1
4226;109;12.142.508;0;0;1;0;0;1
4227;44;4.826.025;0;0;1;0;0;1
4311;2399;261.557.781;0;0;1;0;0;1
4312;1995;215278.89;0;0;1;0;0;1
4321;5555;628.610.566;0;0;1;0;0;1
4322;11538;1.237.904.008;0;0;1;0;0;1
4323;1768;196.375.539;0;0;1;0;0;1
4411;75;8.136.813;0;0;1;0;0;1
4412;1625;185.686.693;0;0;1;0;0;1
4413;64;7.035.233;0;0;1;0;0;1
4415;53;5.489.598;0;0;1;0;0;1
4416;743;81.481.815;0;0;1;0;0;1
4419;1180;131.407.988;0;0;1;0;0;1
5111;372;42.195.169;0;0;1;0;0;1
5112;193;21.127.907;0;0;1;0;0;1
5113;85;9.374.592;0;0;1;0;0;1
5120;2509;295.837.836;0;0;1;0;0;1
5131;4708;548.672.573;0;0;1;0;0;1
5132;220;27.858.196;0;0;1;0;0;1
5141;1725;190.982.449;0;0;1;0;0;1
5142;1366;150.394.601;0;0;1;0;0;1
5151;1823;197.061.915;0;0;1;0;0;1
5152;82;8.837.148;0;0;1;0;0;1
5153;3696;403.184.324;0;0;1;0;0;1
5163;131;13.769.147;0;0;1;0;0;1
5164;427;47.030.444;0;0;1;0;0;1
5165;700;77.902.599;0;0;1;0;0;1
5169;9;1.294.902;0;0;1;0;0;1
5211;111;12.323.216;0;0;1;0;0;1
5221;1402;153.684.791;0;0;1;0;0;1
5222;159;17.202.145;0;0;1;0;0;1
5223;22487;2.478.235.687;0;0;1;0;0;1
5230;1527;168.190.969;0;0;1;0;0;1
5241;22;2.332.992;0;0;1;0;0;1
5245;227;24.558.811;0;0;1;0;0;1
5246;561;67.011.671;0;0;1;0;0;1
5249;92;10.657.828;0;0;1;0;0;1
5311;1329;145.634.607;0;0;1;0;0;1
5312;164;17.807.427;0;0;1;0;0;1
5321;3152;347.750.146;0;0;1;0;0;1
5322;713;78.957.888;0;0;1;0;0;1
5329;28;3.037.651;0;0;1;0;0;1
5411;383;41.509.862;0;0;1;0;0;1
5412;1083;119.056.555;0;0;1;0;0;1
5413;279;29.832.987;0;0;1;0;0;1
5414;1624;182.992.787;0;0;1;0;0;1
5419;189;20.845.379;0;0;1;0;0;1
6111;52;5.762.559;0;0;1;0;0;1
6112;139;14.364.069;0;0;1;0;0;1
6113;2251;249.455.613;0.0025073398528819633;0;0.997492660147118;0.0026654820079964462;0;0.9973345179920036
6121;214;23.167.756;0;0;1;0;0;1
6122;26;2.986.342;0;0;1;0;0;1
6123;18;2.052.711;0;0;1;0;0;1
6129;11;1.182.731;0;0;1;0;0;1
6130;2093;222.312.581;0;0;1;0;0;1
6210;189;20.158.584;0;0;1;0;0;1
6221;13;1.364.595;0;0;1;0;0;1
6222;10;1.096.829;0;0;1;0;0;1
7111;458;58.995.596;0;0;1;0;0;1
7112;1311;149.741.998;0;0;1;0;0;1
7113;111;12.096.809;0;0;1;0;0;1
7114;688;78.325.652;0.02347099786065382;0.14082598716392292;0.8357030149754232;0.024326805385556913;0.14596083231334148;0.8297123623011016
7115;930;104.179.975;0;0;1;0;0;1
7119;187;22.522.712;0;0;1;0;0;1
7121;644;72.641.109;0;0;1;0;0;1
7122;782;91.999.541;0;0;1;0;0;1
7123;802;102.391.749;0;0;1;0;0;1
7124;108;13.035.966;0;0;1;0;0;1
7125;103;11.738.412;0;0;1;0;0;1
7126;1851;207.524.516;0.009236942395760124;0.19760746419331912;0.7931555934109207;0.00945434900054025;0.19835859789620872;0.792187053103251
7127;93;10.677.889;0;0;1;0;0;1
7131;1499;169.625.972;0;0;1;0;0;1
7132;572;64.865.013;0;0;1;0;0;1
7133;1311;150.938.021;0;0;1;0;0;1
7211;24;2.862.009;0;0;1;0;0;1
7212;735;85.038.363;0;0.04545454545454546;0.9545454545454546;0;0.04545454545454546;0.9545454545454546
7213;191;20.614.825;0;0;1;0;0;1
7214;2950;327.548.785;0;0;1;0;0;1
7221;42;4.736.871;0;0;1;0;0;1
7222;955;103.105.526;0;0;1;0;0;1
7223;4218;474.177.045;0;0.00839556793481482;0.9916044320651852;0;0.008542190552944993;0.991457809447055
7224;258;28.532.211;0;0;1;0;0;1
7231;2795;313.286.621;0;0.07407407407407408;0.9259259259259259;0;0.07407407407407407;0.9259259259259259
7232;259;28.985.328;0;0;1;0;0;1
7233;4435;489.686.521;0;0.050247904228286705;0.9497520957717133;0;0.049687403915137845;0.9503125960848622
7234;170;19.028.257;0;0.049999999999999996;0.95;0;0.05;0.95
7311;501;56.579.526;0;0;1;0;0;1
7312;64;7.667.001;0;0;1;0;0;1
7313;104;11222.76;0;0;1;0;0;1
7314;43;4.389.036;0;0;1;0;0;1
7315;58;6.496.846;0;0;1;0;0;1
7316;93;10.233.921;0;0;1;0;0;1
7317;78;8389.38;0;0;1;0;0;1
7319;33;3.402.542;0;0;1;0;0;1
7321;719;79.206.081;0;0;1;0;0;1
7322;420;46314.42;0;0;1;0;0;1
7323;106;12.146.428;0;0;1;0;0;1
7411;2214;249.088.748;0;0;1;0;0;1
7412;3490;383.827.459;0.026734215955538054;0.018080587425016482;0.9551851966194455;0.026770364306180926;0.018174375767498977;0.9550552599263201
7413;136;14978.56;0.33333333333333337;0;0.6666666666666667;0.3333333333333333;0;0.6666666666666666
7421;644;69.671.906;0;0.048020149374603485;0.9519798506253964;0;0.047619047619047616;0.9523809523809523
7422;2023;219.546.026;0;0;1;0;0;1
7511;485;56.406.016;0;0;1;0;0;1
7512;879;101.223.886;0;0;1;0;0;1
7513;78;9.390.847;0;0;1;0;0;1
7522;1920;214909.83;0;0;1;0;0;1
7523;273;31.373.148;0;0;1;0;0;1
7531;537;59.850.979;0;0;1;0;0;1
7532;38;4121.72;0;0;1;0;0;1
7533;43;4.754.269;0;0;1;0;0;1
7534;218;23992.13;0;0;1;0;0;1
7535;9;10.121.619.999.999.900;0;0;1;0;0;1
7536;103;11.450.101;0;0;1;0;0;1
7541;5;564.749;0;0;1;0;0;1
7542;30;3444.5;0;0;1;0;0;1
7543;1247;139.021.757;0;0;1;0;0;1
7544;85;9.699.306;0;0;1;0;0;1
7549;556;59.899.289;0;0;1;0;0;1
8111;78;8.609.229;0;0.9411764705882353;0.05882352941176471;0;0.9411764705882353;0.05882352941176471
8112;106;12090;0;0.05;0.95;0;0.05;0.95
8113;49;5.013.657;0;1;0;0;1;0
8114;75;7.695.975;0;0.02857142857142857;0.9714285714285714;0;0.02857142857142857;0.9714285714285714
8121;487;53.526.021;0;0;1;0;0;1
8122;225;24.955.742;0;0.1666666666666667;0.8333333333333335;0;0.1666666666666667;0.8333333333333334
8131;903;98.494.572;0;0.09523809523809525;0.9047619047619049;0;0.09523809523809523;0.9047619047619048
8132;48;5.312.137;0;0;1;0;0;1
8141;127;14.728.418;0;0;1;0;0;1
8142;431;48.517.474;0;0;1;0;0;1
8143;122;13510.1;0;0;1;0;0;1
8151;26;27.723.360.000.000.000;0;0;1;0;0;1
8152;143;15.313.355;0;0;1;0;0;1
8153;35;3.857.339;0;0;1;0;0;1
8154;27;2.965.812;0;0;1;0;0;1
8157;310;34.354.694;0;0;1;0;0;1
8159;23;2.686.791;0;0;1;0;0;1
8160;842;98.215.416;0;0;1;0;0;1
8171;96;10.326.468;0;0;1;0;0;1
8172;49;5.505.647;0;0;1;0;0;1
8181;64;7.400.197;0;0.2318712249221954;0.7681287750778045;0;0.2322048611111111;0.7677951388888888
8189;4242;475.741.336;0;0.045764875409587645;0.9542351245904124;0;0.04576215863344577;0.9542378413665543
8211;1614;184.125.776;0;0;1;0;0;1
8212;480;54.976.017;0;0;1;0;0;1
8311;400;43.802.101;0;0;1;0;0;1
8312;120;12.896.642;0;0;1;0;0;1
8322;2721;304.557.841;0;0;1;0;0;1
8331;1358;150.714.992;0;0;1;0;0;1
8332;5139;574.632.436;0.09090909090909091;0;0.9090909090909091;0.09090909090909091;0;0.9090909090909091
8341;74;7.562.688;0;0;1;0;0;1
8342;1062;117.957.896;0;0.05494773321490915;0.9450522667850908;0;0.05450931157145846;0.9454906884285416
8343;257;28.576.243;0;0;1;0;0;1
8344;1090;127.195.504;0;0;1;0;0;1
8350;26;2.901.363;0;0;1;0;0;1
9111;1190;131.394.158;0;0;1;0;0;1
9112;9138;1.057.024.841;0;0;1;0;0;1
9122;189;22.631.372;0;0;1;0;0;1
9123;52;6.455.899;0;0;1;0;0;1
9129;120;14.880.991;0;0;1;0;0;1
9211;523;58.765.751;0;0;1;0;0;1
9212;55;6.259.687;0;0;1;0;0;1
9214;552;62.643.836;0;0;1;0;0;1
9215;63;6.923.151;0;0;1;0;0;1
9216;7;1.015.453;0;0;1;0;0;1
9311;12;1.359.776;0;1;0;0;1;0
9312;619;68.001.761;0;0;1;0;0;1
9313;832;106.124.563;0;0;1;0;0;1
9329;3351;383.081.002;0;0;1;0;0;1
9332;x;x;x;x;x;x;x;x
9333;x;x;x;x;x;x;x;x
9334;848;94.874.131;0;0;1;0;0;1
9412;3264;385.568.918;0;0;1;0;0;1
9612;143;16.212.215;0.6923076923076923;0;0.30769230769230765;0.6923076923076923;0;0.3076923076923077
9613;367;41.697.087;0.6666666666666666;0;0.3333333333333333;0.6666666666666666;0;0.3333333333333333
9621;1572;172.449.721;0;0;1;0;0;1
9623;24;2.572.723;0;0;1;0;0;1
9629;274;31.006.815;0;0;1;0;0;1
